,Bike_number,StartLatitude,StartLongitude,EndLatitude,EndLogitude,OriginZip,DestinationZip,Duration,Duration per minute
488,W20680,38.9057,-77.0056,38.9057,-77.0056,20002,20002,135.0,2.25
489,W21767,38.9057,-77.0056,38.9057,-77.0056,20002,20002,210.0,3.5
490,W01495,38.9086,-77.0323,38.9086,-77.0323,20006,20005,299.0,4.983333333333333
491,W23261,38.8952,-77.0436,38.8952,-77.0436,20036,20036,140.0,2.3333333333333335
492,W22566,38.9086,-77.0323,38.9086,-77.0323,20006,20005,63.0,1.05
493,W20986,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1296.0,21.6
494,W20390,38.9057,-77.0056,38.9057,-77.0056,20002,20002,373.0,6.216666666666667
495,W00333,38.9086,-77.0323,38.9086,-77.0323,20006,20005,6528.0,108.8
496,W20154,38.9086,-77.0323,38.9086,-77.0323,20005,20005,62.0,1.0333333333333334
497,W21046,38.9086,-77.0323,38.9086,-77.0323,20005,20005,2792.0,46.53333333333333
498,W22324,38.8952,-77.0436,38.8952,-77.0436,20006,20006,114.0,1.9
499,W22717,38.9086,-77.0323,38.9086,-77.0323,20005,20005,2843.0,47.38333333333333
500,W23011,38.8767,-77.0178,38.8767,-77.0178,20024,20024,708.0,11.8
501,W21525,38.9086,-77.0323,38.9086,-77.0323,20006,20005,6935.0,115.58333333333333
502,W01206,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2364.0,39.4
503,W21652,38.9319,-77.0388,38.9319,-77.0388,20036,20036,90.0,1.5
504,W23119,38.9086,-77.0323,38.9086,-77.0323,20005,20005,2870.0,47.833333333333336
505,W23095,38.8952,-77.0436,38.8952,-77.0436,20006,20006,134.0,2.2333333333333334
506,W23306,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1811.0,30.183333333333334
507,W21993,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1683.0,28.05
508,W22474,38.9086,-77.0323,38.9086,-77.0323,20006,20005,1397.0,23.283333333333335
509,W22173,38.8767,-77.0178,38.8767,-77.0178,20024,20024,648.0,10.8
510,W22931,38.8637,-77.0633,38.8637,-77.0633,20037,22204,2038.0,33.96666666666667
511,W00330,38.8767,-77.0178,38.8767,-77.0178,20024,20024,7560.0,126.0
512,W20746,38.9086,-77.0323,38.9086,-77.0323,20006,20005,421.0,7.016666666666667
513,W23208,38.9086,-77.0323,38.9086,-77.0323,20005,20005,85.0,1.4166666666666667
514,W23359,38.9086,-77.0323,38.9086,-77.0323,20005,20005,4237.0,70.61666666666666
515,W00629,38.9319,-77.0388,38.9319,-77.0388,20010,20036,564.0,9.4
516,W22560,38.9057,-77.0056,38.9057,-77.0056,20002,20002,3565.0,59.416666666666664
517,W22358,38.9176,-77.0321,38.9176,-77.0321,20010,20010,87.0,1.45
