,externalID,OriginZip,DestinationZip,TotalAMount,milage,Duration
235,72143_26NUMPOR,20009,20009,10.63,1.23,477
236,75969_26NM79RA,20004,20037,15.84,2.36,1070
237,36298995,22202,20854,58.08,19.0,32
238,34603935,20003,20037,30.38,4.0,29
239,71275_26NGVM78,20268,22202,18.84,5.13,474
240,30526651,20009,20174,74.82,29.0,38
241,77617_26NNZ2NI,20005,20001,7.12,0.56,181
242,72634_26NLLQLQ,20036,20001,11.71,1.55,618
243,26751770,20004,20004,17.73,2.8,32
244,57114_26NU1X44,20010,20009,5.66,0.68,240
245,32765980,20002,22124,66.8,0.0,45
246,76724_26NP5SKF,20037,20001,16.03,2.65,1019
247,75125_26NPA0UF,20009,20010,13.22,2.5,949
248,26940467,20006,20010,17.73,1.0,30
249,75094_26NFN2L5,20004,20004,6.93,0.46,230
250,33144452,20011,20032,30.77,11.48,30
251,81843_26NRO910,20230,20005,7.74,0.81,348
252,27657523,20037,20174,77.95,27.0,33
253,31051670,20001,20002,6.47,0.5,37
254,30471587,20024,20011,22.59,6.0,31
255,82362_26NRMY0V,20002,20003,10.79,1.87,673
256,81180_26NNHQVJ,20004,20229,4.85,0.28,163
257,20170433523532,20009,20901,27.53,7.75,33
258,77408_26NLLSWJ,20005,20001,8.82,1.26,443
259,66037_26NDCBI1,20001,20001,9.28,0.75,392
260,74382_26NSU94P,20560,20037,16.11,2.49,1194
261,30982504,20015,20001,33.53,7.1,45
262,30812506,20037,20003,18.08,3.6,31
263,31680480,20590,20008,30.5,8.0,47
264,35588807,20032,20036,32.79,8.37,38
265,64325_26NF4M09,20007,20005,11.06,1.64,764
266,26460455,20036,20174,81.54,27.0,46
267,35008046,20009,20814,35.27,16.0,31
268,32587592,20024,20910,30.72,7.1,41
269,27753375,20024,20004,10.09,1.4,36
270,75131_26NCRAPY,20005,22202,17.54,5.07,1020
271,81198_26NP6G2P,20009,20010,7.82,1.38,413
272,77440_26NDV5TR,20009,20037,12.71,1.0,653
273,73422_26NL10R9,20006,22209,9.71,2.86,380
274,74814_26NONYV4,20005,20003,16.18,2.46,818
275,73738_26NMA8XQ,20565,20007,17.54,3.78,1263
276,35746104,20010,20009,8.36,1.47,36
277,27036243,20001,20010,22.9,4.0,32
278,29506398,20004,20745,37.44,14.0,36
279,34002477,20037,20037,65.58,0.0,33
280,80790_26NDBNQZ,20037,20245,7.01,1.15,324
281,77282_26NSTU5D,20515,22202,15.14,3.5,465
282,26885838,20007,21240,82.34,36.0,44
283,79727_26NF6AQC,20045,20004,4.85,0.29,167
284,82665_26NFQ90P,20002,20004,13.18,1.6,608
285,74911_26NGC4Q6,20006,22202,19.16,5.43,1038
286,64433_26NDD63Q,20036,20001,8.63,1.39,512
287,32494397,20009,20017,27.1,6.4,30
288,74753_26NDDTYQ,20009,20007,11.06,2.38,721
289,29136185,20036,22202,37.79,5.0,51
290,65146_26NFR41T,20001,20001,8.36,1.13,515
291,32089347,20003,20016,30.02,8.27,30
292,30246626,20001,20015,29.18,8.5,34
293,81654_26NMVPJK,20001,20003,8.82,1.1,445
294,31918788,20004,20037,0.26,0.0,293
295,77713_26NP5ZJT,20001,20004,7.74,0.76,319
296,66493_26NMVNMF,20036,20005,8.09,1.13,455
297,81543_26NPAG1N,20037,20166,68.47,25.88,2015
298,26912074,20024,20010,22.9,2.9,30
299,91345_26NCO8II,20004,20230,20.0,2.75,787
300,34995695,20011,20020,26.91,8.9,29
301,29694320,20003,20037,24.9,2.8,42
302,29512426,20001,20007,20.54,3.2,29
303,35671248,20001,20007,25.32,0.0,38
304,30551287,20010,20012,22.13,6.0,31
305,29956407,20007,20002,25.86,6.0,31
306,70447_26NMSPTW,20005,20002,13.98,1.91,605
307,26931007,20003,20009,20.51,5.0,31
308,34161216,20004,20745,30.69,10.9,33
309,29673281,20010,20037,20.58,3.0,32
310,29864013,20003,20037,20.51,3.6,35
311,26654374,20037,20037,76.33,28.0,37
312,26762122,20037,20002,20.89,3.5,32
313,35656955,20001,20001,64.98,0.0,41
314,73969_26NCRS4A,20515,20006,16.41,2.57,832
315,70942_26NCR1KX,20001,22202,16.19,5.35,805
316,77727_26NMW2SO,20003,20004,9.44,2.05,535
317,26861158,20372,22202,27.94,6.0,33
318,28993230,20001,22202,29.02,7.0,30
319,29901560,20036,20003,20.95,3.0,34
320,62634_26NCSEG0,20007,20007,7.01,1.11,338
321,30112032,20002,20002,63.62,0.0,39
